,Name,Female?,Party,District
261,Gerdin Viviann,1,7,21
262,Patriksson Runar,0,2,21
263,Kihlström Dan,0,6,21
264,Rådhström Jan-Evert,0,1,21
265,Björnlod Leif,0,5,21
266,Ternemar Tommy,0,3,21
267,Högman Berit,1,3,21
268,Lundberg Inger,1,3,22
269,Holmqvist Nils-Göran,0,3,22
270,Frisk Helena,1,3,22
271,Tolgfors Sten,0,1,22
272,Pedersen Peter,0,4,22
273,Johansson Mikael,0,5,22
274,Pehrson Johan,0,2,22
275,Larsen Sofia,1,7,22
276,Axelsson Lennart,0,3,22
277,Persson Sven Gunnar,0,6,22
278,Ernkrans Matilda,1,3,22
279,Magnusson Göran,0,3,23
280,Israelsson Margareta,1,3,23
281,Heinemann Kerstin,1,2,23
282,Högström Tomas,0,1,23
283,Nilsson Pia,1,3,23
284,Ytterberg Mariann,1,3,23
285,Vallius Paavo,0,3,23
286,Johansson Jörgen,0,7,23
287,Thorborg Karin,1,4,23
288,Lindström Torsten,0,6,23
289,Granström Per Erik,0,3,24
290,Hietala Nordlund Barbro,1,3,24
291,Gunnarsson Rolf,0,1,24
292,Fremling Lennart,0,2,24
293,Johansson Kenneth,0,7,24
294,Lindholm Jan,0,5,24
295,Ulvskog Marita,1,3,24
296,Kvarnström Kurt,0,3,24
297,Wiklund Anders,0,4,24
298,Lindgren Ulrik,0,6,24
299,Särnblad Anneli,1,3,24
300,Bohlin Sinikka,1,3,25
301,Norinder Patrik,0,1,25
302,Högström Kenth,0,3,25
303,Hellberg Owe,0,4,25
304,Bergström Sven,0,7,25
305,Pärssinen Raimo,0,3,25
306,Svensson Per-Olof,0,3,25
307,Marcelind Ragnwi,1,6,25
308,Hedström Lotta,1,5,25
309,Lindestam Åsa,1,3,25
310,Backman Hans,0,2,25
311,Stenberg Hans,0,3,26
312,Lundberg Agneta,1,3,26
313,Eberstein Susanne,1,3,26
314,Kristiansson Karlstedt Kerstin,1,3,26
315,Norlander Göran,0,3,26
316,Sellén Birgitta,1,7,26
317,Wahlén Gunilla,1,4,26
318,Lindén Lars,0,6,26
319,Hellquist Solveig,1,2,26
320,Kjellberg Bertil,0,1,26
321,Sandberg Gunnar,0,3,27
322,Berglund Rune,0,3,27
323,Nordén Marie,1,3,27
324,Sundell Ola,0,1,27
325,Sköld Jansson Camilla,1,4,27
326,Larsson Håkan,0,7,27
327,Lundberg Carin,1,3,28
328,Rådström Britta,1,3,28
329,Lilja Lars,0,3,28
330,Gustavsson Lennart,0,4,28
331,Ångström Yvonne,1,2,28
332,Abramsson Karl Gustav,0,3,28
333,Tjernberg Gunilla,1,6,28
334,Löfgren Ulla,1,1,28
335,Saarinen Ingegerd,1,5,28
336,Wibe Sören,0,3,28
337,Olofsson Maud,1,7,28
338,Klockare Lennart,0,3,29
339,Zakrisson Kristina,1,3,29
340,Ahlqvist Birgitta,1,3,29
341,Holma Siv,1,4,29
342,Eriksson Peter,0,5,29
343,Wälivaara Erling,0,6,29
344,Åström Karin,1,3,29
345,Gidblom Birgitta,1,3,29
346,Öberg Maria,1,3,29
347,Hammarbergh Krister,0,1,29
348,Grönlund Krantz Anna,1,2,29
